Distance (km),Loss (dB)
0.000000,38.480000
0.000005,42.646000
0.000010,44.648000
0.000015,45.973000
0.000020,46.911000
0.000025,47.513000
0.000031,47.943000
0.000036,48.268000
0.000041,48.525000
0.000046,48.735000
0.000051,48.909000
0.000056,49.055000
0.000061,49.179000
0.000066,49.285000
0.000071,49.376000
0.000076,49.454000
0.000082,49.522000
0.000087,49.581000
0.000092,49.633000
0.000097,49.679000
0.000102,49.706000
0.000107,49.676000
0.000112,49.590000
0.000117,49.447000
0.000122,49.256000
0.000127,49.065000
0.000132,48.879000
0.000138,48.697000
0.000143,48.518000
0.000148,48.343000
0.000153,48.172000
0.000158,48.005000
0.000163,47.840000
0.000168,47.680000
0.000173,47.523000
0.000178,47.371000
0.000183,47.223000
0.000189,47.079000
0.000194,46.938000
0.000199,46.801000
0.000204,46.668000
0.000209,46.540000
0.000214,46.416000
0.000219,46.297000
0.000224,46.184000
0.000229,46.076000
0.000234,45.974000
0.000239,45.876000
0.000245,45.784000
0.000250,45.695000
0.000255,45.611000
0.000260,45.531000
0.000265,45.456000
0.000270,45.385000
0.000275,45.319000
0.000280,45.257000
0.000285,45.199000
0.000290,45.145000
0.000295,45.094000
0.000301,45.047000
0.000306,45.004000
0.000311,44.963000
0.000316,44.925000
0.000321,44.889000
0.000326,44.856000
0.000331,44.825000
0.000336,44.798000
0.000341,44.771000
0.000346,44.747000
0.000352,44.724000
0.000357,44.703000
0.000362,44.684000
0.000367,44.666000
0.000372,44.650000
0.000377,44.634000
0.000382,44.621000
0.000387,44.607000
0.000392,44.594000
0.000397,44.582000
0.000402,44.571000
0.000408,44.562000
0.000413,44.555000
0.000418,44.548000
0.000423,44.540000
0.000428,44.531000
0.000433,44.525000
0.000438,44.519000
0.000443,44.514000
0.000448,44.510000
0.000453,44.506000
0.000459,44.502000
0.000464,44.497000
0.000469,44.492000
0.000474,44.487000
0.000479,44.483000
0.000484,44.478000
0.000489,44.474000
0.000494,44.470000
0.000499,44.466000
0.000504,44.463000
0.000509,44.461000
0.000515,44.458000
0.000520,44.456000
0.000525,44.453000
0.000530,44.451000
0.000535,44.448000
0.000540,44.446000
0.000545,44.444000
0.000550,44.443000
0.000555,44.442000
0.000560,44.440000
0.000566,44.437000
0.000571,44.435000
0.000576,44.431000
0.000581,44.429000
0.000586,44.428000
0.000591,44.426000
0.000596,44.425000
0.000601,44.423000
0.000606,44.421000
0.000611,44.419000
0.000616,44.418000
0.000622,44.416000
0.000627,44.413000
0.000632,44.411000
0.000637,44.409000
0.000642,44.407000
0.000647,44.406000
0.000652,44.405000
0.000657,44.404000
0.000662,44.403000
0.000667,44.401000
0.000672,44.398000
0.000678,44.396000
0.000683,44.395000
0.000688,44.393000
0.000693,44.391000
0.000698,44.389000
0.000703,44.386000
0.000708,44.384000
0.000713,44.382000
0.000718,44.379000
0.000723,44.377000
0.000729,44.375000
0.000734,44.373000
0.000739,44.371000
0.000744,44.369000
0.000749,44.367000
0.000754,44.364000
0.000759,44.362000
0.000764,44.360000
0.000769,44.359000
0.000774,44.357000
0.000779,44.355000
0.000785,44.353000
0.000790,44.351000
0.000795,44.349000
0.000800,44.347000
0.000805,44.346000
0.000810,44.343000
0.000815,44.342000
0.000820,44.341000
0.000825,44.339000
0.000830,44.337000
0.000836,44.335000
0.000841,44.333000
0.000846,44.333000
0.000851,44.332000
0.000856,44.330000
0.000861,44.328000
0.000866,44.325000
0.000871,44.323000
0.000876,44.321000
0.000881,44.319000
0.000886,44.317000
0.000892,44.316000
0.000897,44.315000
0.000902,44.314000
0.000907,44.313000
0.000912,44.312000
0.000917,44.311000
0.000922,44.309000
0.000927,44.308000
0.000932,44.307000
0.000937,44.306000
0.000943,44.305000
0.000948,44.303000
0.000953,44.301000
0.000958,44.299000
0.000963,44.297000
0.000968,44.296000
0.000973,44.294000
0.000978,44.293000
0.000983,44.292000
0.000988,44.291000
0.000993,44.290000
0.000999,44.288000
0.001004,44.287000
0.001009,44.284000
0.001014,44.282000
0.001019,44.280000
0.001024,44.277000
0.001029,44.275000
0.001034,44.272000
0.001039,44.269000
0.001044,44.266000
0.001050,44.264000
0.001055,44.262000
0.001060,44.261000
0.001065,44.260000
0.001070,44.258000
0.001075,44.258000
0.001080,44.256000
0.001085,44.255000
0.001090,44.253000
0.001095,44.252000
0.001100,44.251000
0.001106,44.250000
0.001111,44.248000
0.001116,44.247000
0.001121,44.245000
0.001126,44.243000
0.001131,44.243000
0.001136,44.242000
0.001141,44.240000
0.001146,44.239000
0.001151,44.238000
0.001156,44.236000
0.001162,44.234000
0.001167,44.233000
0.001172,44.231000
0.001177,44.228000
0.001182,44.226000
0.001187,44.224000
0.001192,44.222000
0.001197,44.221000
0.001202,44.219000
0.001207,44.218000
0.001213,44.217000
0.001218,44.215000
0.001223,44.213000
0.001228,44.211000
0.001233,44.209000
0.001238,44.207000
0.001243,44.204000
0.001248,44.201000
0.001253,44.198000
0.001258,44.197000
0.001263,44.196000
0.001269,44.194000
0.001274,44.192000
0.001279,44.189000
0.001284,44.187000
0.001289,44.185000
0.001294,44.183000
0.001299,44.181000
